2011-01-01	1967
2011-01-02	1987
2011-01-03	2140
2011-01-04	2500
2011-01-05	2471
2011-01-06	2378
2011-01-07	2393
2011-01-08	2033
2011-01-09	2074
2011-01-10	2625
2011-01-11	2604
2011-01-12	2482
2011-01-13	2475
2011-01-14	2521
2011-01-15	2140
2011-01-16	2061
2011-01-17	2590
2011-01-18	2600
2011-01-19	2563
2011-01-20	2522
2011-01-21	2413
2011-01-22	2141
2011-01-23	2067
2011-01-24	2644
2011-01-25	2667
2011-01-26	2665
2011-01-27	2470
2011-01-28	2842
2011-01-29	2580
2011-01-30	2644
2011-01-31	2627
2011-02-01	2386
2011-02-02	1762
2011-02-03	1823
2011-02-04	1907
2011-02-05	2139
2011-02-06	2091
2011-02-07	2317
2011-02-08	2401
2011-02-09	3100
2011-02-10	3390
2011-02-11	3361
2011-02-12	3448
2011-02-13	3124
2011-02-14	3467
2011-02-15	3688
2011-02-16	3687
2011-02-17	3528
2011-02-18	3661
2011-02-19	3442
2011-02-20	3419
2011-02-21	4169
2011-02-22	3947
2011-02-23	4067
2011-02-24	4210
2011-02-25	4283
2011-02-26	3926
2011-02-27	3683
2011-02-28	4060
2011-03-01	3819
2011-03-02	4070
2011-03-03	4216
2011-03-04	3978
2011-03-05	3513
2011-03-06	3425
2011-03-07	3922
2011-03-08	3810
2011-03-09	3945
2011-03-10	4067
2011-03-11	4104
2011-03-12	bmw7
2011-03-13	3501
2011-03-14	3936
2011-03-15	3797
2011-03-16	3855
2011-03-17	3646
2011-03-18	4041
2011-03-19	3676
2011-03-20	3542
2011-03-21	4027
2011-03-22	3791
2011-03-23	3949
2011-03-24	4075
2011-03-25	3938
2011-03-26	3581
2011-03-27	3378
2011-03-28	3724
2011-03-29	4134
2011-03-30	3862
2011-03-31	3934
2011-04-01	4391
2011-04-02	4452
2011-04-03	3903
2011-04-04	3529
2011-04-05	3573
2011-04-06	4307
2011-04-07	4210
2011-04-08	3441
2011-04-09	3744
2011-04-10	3466
2011-04-11	4103
2011-04-12	4403
2011-04-13	4171
2011-04-14	4118
2011-04-15	4045
2011-04-16	3587
2011-04-17	3518
2011-04-18	4460
2011-04-19	4140
2011-04-20	3925
2011-04-21	3931
2011-04-22	3763
2011-04-23	3442
2011-04-24	3769
2011-04-25	4095
2011-04-26	4391
2011-04-27	4479
2011-04-28	4534
2011-04-29	6144
2011-04-30	4793
2011-05-01	4292
2011-05-02	4083
2011-05-03	4800
2011-05-04	error
2011-05-05	5066
2011-05-06	4962
2011-05-07	4414
2011-05-08	4063
2011-05-09	4786
2011-05-10	5321
2011-05-11	4675
2011-05-12	5381
2011-05-13	4761
2011-05-14	4551
2011-05-15	4341
2011-05-16	4878
2011-05-17	8885
2011-05-18	4658
2011-05-19	4588
2011-05-20	4811
2011-05-21	4575
2011-05-22	4046
2011-05-23	4591
2011-05-24	4468
2011-05-25	4537
2011-05-26	4463
2011-05-27	4221
2011-05-28	4028
2011-05-29	4190
2011-05-30	4596
2011-05-31	4293
2011-06-01	4672
2011-06-02	4441
2011-06-03	4216
2011-06-04	4085
2011-06-05	3849
2011-06-06	3910
2011-06-07	4803
2011-06-08	5122
2011-06-09	5178
2011-06-10	4770
2011-06-11	4694
2011-06-12	4468
2011-06-13	4996
2011-06-14	5515
2011-06-15	5296
2011-06-16	5507
2011-06-17	5355
2011-06-18	4993
2011-06-19	5016
2011-06-20	6034
2011-06-21	5436
2011-06-22	5331
2011-06-23	5642
2011-06-24	5195
2011-06-25	4961
2011-06-26	5230
2011-06-27	5605
2011-06-28	5770
2011-06-29	5727
2011-06-30	5430
2011-07-01	6202
2011-07-02	5967
2011-07-03	5484
2011-07-04	5923
2011-07-05	5720
2011-07-06	5964
2011-07-07	5908
2011-07-08	6111
2011-07-09	s711
2011-07-10	5425
2011-07-11	6363
2011-07-12	6114
2011-07-13	6365
2011-07-14	6188
2011-07-15	6400
2011-07-16	5555
2011-07-17	5803
2011-07-18	6173
2011-07-19	6109
2011-07-20	6161
2011-07-21	6516
2011-07-22	6172
2011-07-23	5397
2011-07-24	5608
2011-07-25	6396
2011-07-26	6079
2011-07-27	6093
2011-07-28	6048
2011-07-29	6225
2011-07-30	5370
2011-07-31	5632
2011-08-01	8112
2011-08-02	7717
2011-08-03	1653
2011-08-04	1515
2011-08-05	1018
2011-08-06	6513
2011-08-07	1397
2011-08-08	8061
2011-08-09	1634
2011-08-10	1638
2011-08-11	7792
2011-08-12	1681
2011-08-13	1296
2011-08-14	1289
2011-08-15	1585
2011-08-16	8192
2011-08-17	8389
2011-08-18	1842
2011-08-19	7705
2011-08-20	1390
2011-08-21	7473
2011-08-22	1995
2011-08-23	8368
2011-08-24	8679
2011-08-25	8568
2011-08-26	8491
2011-08-27	8038
2011-08-28	8094
2011-08-29	9264
2011-08-30	9039
2011-08-31	9202
2011-09-01	9758
2011-09-02	9657
2011-09-03	9487
2011-09-04	9787
2011-09-05	9805
2011-09-06	9918
2011-09-07	10177
2011-09-08	10057
2011-09-09	9404
2011-09-10	9175
2011-09-11	9085
2011-09-12	8671
2011-09-13	11323
2011-09-14	11359
2011-09-15	11958
2011-09-16	11450
2011-09-17	11440
2011-09-18	11272
2011-09-19	1011b
2011-09-20	10183
2011-09-21	10316
2011-09-22	10323
2011-09-23	10251
2011-09-24	9827
2011-09-25	9446
2011-09-26	9284
2011-09-27	9872
2011-09-28	10208
2011-09-29	9465
